id,department,number,name
102,MATHS,102,Functioning in Mathematics
108,MATHS,108,General Mathematics 1
150,MATHS,150,Advancing Mathematics 1
153,MATHS,153,Accelerated Mathematics
162,MATHS,162,Modelling and Computation
190,MATHS,190,Great Ideas Shaping Our World
202,MATHS,202,Tutoring in Mathematics
208,MATHS,208,General Mathematics 2
250,MATHS,250,Advancing Mathematics 2
253,MATHS,253,Advancing Mathematics 3
162,MATHS,162,Modelling and Computation
260,MATHS,260,Differential  Equations
255,MATHS,255,Principles of Mathematics
270,MATHS,270,Numerical Computation
